,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
P70-NH62,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],abbba,Group: 8
P19-NH64,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],aabbb,Group: 8
P38-NH64,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],aabbb,Group: 8
P05-NH58,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],aabbb,Group: 8
P14-NH58,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],aabbb,Group: 8
P18-NH58,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],aabbb,Group: 8
P41-NH58,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],aabbb,Group: 8
P41-NH60,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],aabbb,Group: 8
P29-NH62,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],aabbb,Group: 8
P54-NH62,[46-275],[53-314],[43-332],[38-347],[44-311],[47-329],[41-310],[46-268],[43-400],[32-400],[35-317],[31-400],[98-361],[39-340],[35-411],[67-400],[42-333],[50-367],[55-403],[80-356],[92-389],[60-346],[45-383],[39-379],[41-367],[130-391],[48-295],[47-275],[43-305],[44-363],aabbb,Group: 8
P37-NH64,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],babba,Group: 9
P15-NH58,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],babba,Group: 9
P37-NH58,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],babba,Group: 9
P53-NH58,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],babba,Group: 9
P59-NH58,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],babba,Group: 9
P26-NH60,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],babba,Group: 9
P28-NH60,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],babba,Group: 9
P10-NH62,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],babba,Group: 9
P39-NH62,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],babba,Group: 9
P42-NH62,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],babba,Group: 9
P51-NH64,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],aaabb,Group: 9
P02-NH58,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],aaabb,Group: 9
P08-NH58,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],aaabb,Group: 9
P12-NH58,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],aaabb,Group: 9
P13-NH58,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],aaabb,Group: 9
P49-NH58,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],aaabb,Group: 9
P67-NH58,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],aaabb,Group: 9
P29-NH60,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],aaabb,Group: 9
P27-NH62,[47-275],[50-308],[59-315],[52-294],[66-376],[38-249],[37-344],[40-338],[54-349],[52-288],[82-294],[24-261],[76-362],[45-316],[56-315],[76-320],[38-285],[59-341],[54-350],[57-415],[76-308],[56-364],[112-328],[36-407],[58-243],[46-308],[29-436],[60-297],[45-354],[63-359],aaabb,Group: 9
