,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
P39-NH64,[100-345],[84-338],[102-391],[87-437],[71-338],[97-341],[81-417],[75-352],[111-430],[86-334],[62-306],[113-363],[115-371],[90-300],[43-320],[51-323],[52-367],[49-304],[99-336],[71-405],[79-358],[30-317],[79-341],[66-309],[30-369],[44-450],[81-340],[42-309],[147-305],[88-450],aaaaa,Group: 2
P65-NH58,[100-345],[84-338],[102-391],[87-437],[71-338],[97-341],[81-417],[75-352],[111-430],[86-334],[62-306],[113-363],[115-371],[90-300],[43-320],[51-323],[52-367],[49-304],[99-336],[71-405],[79-358],[30-317],[79-341],[66-309],[30-369],[44-450],[81-340],[42-309],[147-305],[88-450],aaaaa,Group: 2
P67-NH60,[67-209],[40-281],[100-280],[65-302],[48-177],[56-348],[43-254],[53-222],[35-247],[41-222],[43-277],[57-293],[79-224],[67-261],[92-366],[84-221],[54-306],[92-402],[58-258],[100-211],[35-225],[31-211],[35-200],[67-272],[35-281],[66-196],[82-254],[35-295],[104-211],[64-327],aaaaa,Group: 3
P54-NH60,[67-209],[40-281],[100-280],[65-302],[48-177],[56-348],[43-254],[53-222],[35-247],[41-222],[43-277],[57-293],[79-224],[67-261],[92-366],[84-221],[54-306],[92-402],[58-258],[100-211],[35-225],[31-211],[35-200],[67-272],[35-281],[66-196],[82-254],[35-295],[104-211],[64-327],aaaaa,Group: 3
P55-NH60,[67-209],[40-281],[100-280],[65-302],[48-177],[56-348],[43-254],[53-222],[35-247],[41-222],[43-277],[57-293],[79-224],[67-261],[92-366],[84-221],[54-306],[92-402],[58-258],[100-211],[35-225],[31-211],[35-200],[67-272],[35-281],[66-196],[82-254],[35-295],[104-211],[64-327],aaaaa,Group: 3
P31-NH62,[67-209],[40-281],[100-280],[65-302],[48-177],[56-348],[43-254],[53-222],[35-247],[41-222],[43-277],[57-293],[79-224],[67-261],[92-366],[84-221],[54-306],[92-402],[58-258],[100-211],[35-225],[31-211],[35-200],[67-272],[35-281],[66-196],[82-254],[35-295],[104-211],[64-327],aaaaa,Group: 3
P04-NH64,[67-209],[40-281],[100-280],[65-302],[48-177],[56-348],[43-254],[53-222],[35-247],[41-222],[43-277],[57-293],[79-224],[67-261],[92-366],[84-221],[54-306],[92-402],[58-258],[100-211],[35-225],[31-211],[35-200],[67-272],[35-281],[66-196],[82-254],[35-295],[104-211],[64-327],aaaaa,Group: 3
P31-NH58,[67-209],[40-281],[100-280],[65-302],[48-177],[56-348],[43-254],[53-222],[35-247],[41-222],[43-277],[57-293],[79-224],[67-261],[92-366],[84-221],[54-306],[92-402],[58-258],[100-211],[35-225],[31-211],[35-200],[67-272],[35-281],[66-196],[82-254],[35-295],[104-211],[64-327],aaaaa,Group: 3
P68-NH58,[81-354],[66-324],[100-251],[62-362],[92-318],[50-348],[43-247],[25-186],[56-221],[98-259],[54-277],[73-325],[57-259],[51-228],[94-289],[91-271],[54-268],[115-252],[58-258],[76-233],[68-239],[67-307],[70-296],[61-272],[73-288],[66-230],[82-313],[87-314],[116-330],[72-347],aaaaa,Group: 4
P03-NH58,[81-354],[66-324],[100-251],[62-362],[92-318],[50-348],[43-247],[25-186],[56-221],[98-259],[54-277],[73-325],[57-259],[51-228],[94-289],[91-271],[54-268],[115-252],[58-258],[76-233],[68-239],[67-307],[70-296],[61-272],[73-288],[66-230],[82-313],[87-314],[116-330],[72-347],aaaaa,Group: 4
